headroom_percent,maximum_hourly_shortage_probability,average_shortage_probability,expected_total_shortage,average_unused_capacity,service_target_maximum_hourly_shortage_probability,meets_service_target,is_minimum_recommended_headroom,minimum_recommended_headroom_percent,planning_service_target,recommendation_status,capacity_measure,methodology_note
0,0.1386,0.1336125,7151383.498123363,4393376.610317295,0.05,False,False,10.0,maximum hourly shortage probability <= 5%,Minimum tested headroom satisfying the service target: 10%.,required workload-serving capacity in normalized compute-seconds per hour,This analysis demonstrates the workload-serving capacity decision methodology and does not represent Microsoft's real internal Azure capacity numbers.
5,0.1034,0.0910041666666666,2703506.386901715,5797782.202838278,0.05,False,False,10.0,maximum hourly shortage probability <= 5%,Minimum tested headroom satisfying the service target: 10%.,required workload-serving capacity in normalized compute-seconds per hour,This analysis demonstrates the workload-serving capacity decision methodology and does not represent Microsoft's real internal Azure capacity numbers.
10,0.034,0.0270291666666666,829161.301272704,7309418.296425621,0.05,True,True,10.0,maximum hourly shortage probability <= 5%,Minimum tested headroom satisfying the service target: 10%.,required workload-serving capacity in normalized compute-seconds per hour,This analysis demonstrates the workload-serving capacity decision methodology and does not represent Microsoft's real internal Azure capacity numbers.
15,0.0183,0.0137291666666666,162517.37379505063,8871375.271602595,0.05,True,False,10.0,maximum hourly shortage probability <= 5%,Minimum tested headroom satisfying the service target: 10%.,required workload-serving capacity in normalized compute-seconds per hour,This analysis demonstrates the workload-serving capacity decision methodology and does not represent Microsoft's real internal Azure capacity numbers.
20,0.0,0.0,0.0,10454337.519849688,0.05,True,False,10.0,maximum hourly shortage probability <= 5%,Minimum tested headroom satisfying the service target: 10%.,required workload-serving capacity in normalized compute-seconds per hour,This analysis demonstrates the workload-serving capacity decision methodology and does not represent Microsoft's real internal Azure capacity numbers.
25,0.0,0.0,0.0,12044071.32533824,0.05,True,False,10.0,maximum hourly shortage probability <= 5%,Minimum tested headroom satisfying the service target: 10%.,required workload-serving capacity in normalized compute-seconds per hour,This analysis demonstrates the workload-serving capacity decision methodology and does not represent Microsoft's real internal Azure capacity numbers.
30,0.0,0.0,0.0,13633805.130826792,0.05,True,False,10.0,maximum hourly shortage probability <= 5%,Minimum tested headroom satisfying the service target: 10%.,required workload-serving capacity in normalized compute-seconds per hour,This analysis demonstrates the workload-serving capacity decision methodology and does not represent Microsoft's real internal Azure capacity numbers.
35,0.0,0.0,0.0,15223538.936315345,0.05,True,False,10.0,maximum hourly shortage probability <= 5%,Minimum tested headroom satisfying the service target: 10%.,required workload-serving capacity in normalized compute-seconds per hour,This analysis demonstrates the workload-serving capacity decision methodology and does not represent Microsoft's real internal Azure capacity numbers.
40,0.0,0.0,0.0,16813272.74180389,0.05,True,False,10.0,maximum hourly shortage probability <= 5%,Minimum tested headroom satisfying the service target: 10%.,required workload-serving capacity in normalized compute-seconds per hour,This analysis demonstrates the workload-serving capacity decision methodology and does not represent Microsoft's real internal Azure capacity numbers.
50,0.0,0.0,0.0,19992740.352780998,0.05,True,False,10.0,maximum hourly shortage probability <= 5%,Minimum tested headroom satisfying the service target: 10%.,required workload-serving capacity in normalized compute-seconds per hour,This analysis demonstrates the workload-serving capacity decision methodology and does not represent Microsoft's real internal Azure capacity numbers.
