forecast_hour,headroom_pct,point_forecast,capacity,shortage_probability,expected_shortage_compute_seconds,expected_unused_capacity
1,0,29560704.377408117,29560704.377408117,0.1346,295952.796249525,4350229.7217717655
1,5,29560704.377408117,31038739.59627852,0.0996,119389.69875017052,5651701.8431428205
1,10,29560704.377408117,32516774.815148927,0.0323,38014.13065849128,7048361.493921547
1,15,29560704.377408117,33994810.03401933,0.0157,10399.641383939888,8498782.223517397
1,20,29560704.377408117,35472845.25288974,0.0,0.0,9966417.801003864
1,25,29560704.377408117,36950880.47176014,0.0,0.0,11444453.019874264
1,30,29560704.377408117,38428915.69063055,0.0,0.0,12922488.238744674
1,35,29560704.377408117,39906950.90950096,0.0,0.0,14400523.457615083
1,40,29560704.377408117,41384986.12837136,0.0,0.0,15878558.676485486
1,50,29560704.377408117,44341056.56611217,0.0,0.0,18834629.114226293
2,0,32162253.627356604,32162253.627356604,0.1374,305354.4484325354,4369580.235409595
2,5,32162253.627356604,33770366.30872443,0.0935,113456.5321529949,5785795.000497883
2,10,32162253.627356604,35378478.99009227,0.0264,33072.08961584942,7313523.239328575
2,15,32162253.627356604,36986591.67146009,0.0165,5108.343249363401,8893672.174329914
2,20,32162253.627356604,38594704.35282792,0.0,0.0,10496676.512448376
2,25,32162253.627356604,40202817.03419575,0.0,0.0,12104789.193816207
2,30,32162253.627356604,41810929.71556359,0.0,0.0,13712901.875184042
2,35,32162253.627356604,43419042.39693142,0.0,0.0,15321014.556551874
2,40,32162253.627356604,45027155.07829924,0.0,0.0,16929127.237919692
2,50,32162253.627356604,48243380.441034906,0.0,0.0,20145352.60065536
3,0,34695660.52218263,34695660.52218263,0.1263,286049.6865897874,4471993.810968187
3,5,34695660.52218263,36430443.548291765,0.0807,96051.57650774677,6016778.726995284
3,10,34695660.52218263,38165226.574400894,0.0153,25700.700906391965,7681210.877503058
3,15,34695660.52218263,39900009.600510016,0.0085,1591.6246169590204,9391884.827322748
3,20,34695660.52218263,41634792.62661915,0.0,0.0,11125076.228814924
3,25,34695660.52218263,43369575.65272829,0.0,0.0,12859859.25492406
3,30,34695660.52218263,45104358.67883742,0.0,0.0,14594642.281033192
3,35,34695660.52218263,46839141.70494656,0.0,0.0,16329425.307142328
3,40,34695660.52218263,48573924.73105568,0.0,0.0,18064208.33325145
3,50,34695660.52218263,52043490.78327394,0.0,0.0,21533774.38546972
4,0,33554304.73166176,33554304.73166176,0.1386,301824.6530337641,4397338.069982074
4,5,33554304.73166176,35232019.96824485,0.0921,101667.67433896768,5874896.327870369
4,10,33554304.73166176,36909735.204827935,0.024,27824.303961502814,7478768.194075988
4,15,33554304.73166176,38587450.44141102,0.0082,2939.317252818829,9131598.443950389
4,20,33554304.73166176,40265165.67799411,0.0,0.0,10806374.36328066
4,25,33554304.73166176,41942880.9145772,0.0,0.0,12484089.59986375
4,30,33554304.73166176,43620596.151160285,0.0,0.0,14161804.836446837
4,35,33554304.73166176,45298311.387743376,0.0,0.0,15839520.073029926
4,40,33554304.73166176,46976026.62432646,0.0,0.0,17517235.30961301
4,50,33554304.73166176,50331457.09749264,0.0,0.0,20872665.782779183
5,0,32295568.036620274,32295568.036620274,0.138,312983.8422081501,4371098.373146977
5,5,32295568.036620274,33910346.43845129,0.0937,118478.87058672652,5791371.80335657
5,10,32295568.036620274,35525124.840282306,0.0274,36350.64133372259,7324021.975934583
5,15,32295568.036620274,37139903.24211332,0.0182,5755.539682977837,8908205.276114846
5,20,32295568.036620274,38754681.64394433,0.0,0.0,10517228.138262885
5,25,32295568.036620274,40369460.04577534,0.0,0.0,12132006.54009389
5,30,32295568.036620274,41984238.44760636,0.0,0.0,13746784.94192491
5,35,32295568.036620274,43599016.84943737,0.0,0.0,15361563.343755923
5,40,32295568.036620274,45213795.25126838,0.0,0.0,16976341.74558693
5,50,32295568.036620274,48443352.05493041,0.0,0.0,20205898.549248964
6,0,31943199.270111933,31943199.270111933,0.1318,291303.87158385216,4419664.785986516
6,5,31943199.270111933,33540359.233617533,0.0896,108388.96011991716,5833909.838028181
6,10,31943199.270111933,35137519.19712313,0.0245,31982.127191663032,7354662.968605527
6,15,31943199.270111933,36734679.16062872,0.0157,5442.93715343491,8925283.742072886
6,20,31943199.270111933,38331839.12413432,0.0,0.0,10517000.768425047
6,25,31943199.270111933,39928999.08763991,0.0,0.0,12114160.731930643
6,30,31943199.270111933,41526159.05114552,0.0,0.0,13711320.695436249
6,35,31943199.270111933,43123319.01465111,0.0,0.0,15308480.658941844
6,40,31943199.270111933,44720478.9781567,0.0,0.0,16905640.62244743
6,50,31943199.270111933,47914798.9051679,0.0,0.0,20099960.54945863
7,0,31696995.00227162,31696995.00227162,0.1345,301641.4059684765,4352442.376472184
7,5,31696995.00227162,33281844.752385203,0.0924,115809.1783698146,5751459.898987106
7,10,31696995.00227162,34866694.50249878,0.0247,33381.38974320311,7253881.860474075
7,15,31696995.00227162,36451544.25261236,0.0161,6223.062180550347,8811573.283024997
7,20,31696995.00227162,38036394.00272594,0.0,0.0,10390199.970958034
7,25,31696995.00227162,39621243.75283952,0.0,0.0,11975049.72107161
7,30,31696995.00227162,41206093.50295311,0.0,0.0,13559899.471185194
7,35,31696995.00227162,42790943.25306669,0.0,0.0,15144749.221298778
7,40,31696995.00227162,44375793.003180265,0.0,0.0,16729598.971412351
7,50,31696995.00227162,47545492.50340743,0.0,0.0,19899298.471639518
8,0,30326317.785871133,30326317.785871133,0.1309,293794.8537165996,4440627.032922675
8,5,30326317.785871133,31842633.67516469,0.0903,117469.46682591172,5780617.535325546
8,10,30326317.785871133,33358949.56445825,0.033,37133.71010946335,7216597.667902655
8,15,30326317.785871133,34875265.4537518,0.016,9230.958774348312,8705010.805861093
8,20,30326317.785871133,36391581.34304536,0.0,0.0,10212095.736380303
8,25,30326317.785871133,37907897.23233892,0.0,0.0,11728411.62567386
8,30,30326317.785871133,39424213.12163247,0.0,0.0,13244727.514967412
8,35,30326317.785871133,40940529.01092603,0.0,0.0,14761043.40426097
8,40,30326317.785871133,42456844.90021958,0.0,0.0,16277359.293554522
8,50,30326317.785871133,45489476.6788067,0.0,0.0,19309991.072141644
9,0,29650812.82558761,29650812.82558761,0.1376,308263.15420469706,4355721.947501978
9,5,29650812.82558761,31133353.466867,0.1034,127503.95228126852,5657503.386857931
9,10,29650812.82558761,32615894.10814638,0.034,43176.770451026765,7055716.846307074
9,15,29650812.82558761,34098434.749425754,0.0173,12733.41216309469,8507814.129298516
9,20,29650812.82558761,35580975.39070514,0.0,0.0,9977621.358414805
9,25,29650812.82558761,37063516.03198452,0.0,0.0,11460161.999694187
9,30,29650812.82558761,38546056.6732639,0.0,0.0,12942702.640973566
9,35,29650812.82558761,40028597.31454328,0.0,0.0,14425243.28225295
9,40,29650812.82558761,41511137.95582266,0.0,0.0,15907783.923532328
9,50,29650812.82558761,44476219.23838142,0.0,0.0,18872865.206091087
10,0,30266522.702767543,30266522.702767543,0.136,304106.91178443644,4374079.1767631145
10,5,30266522.702767543,31779848.83790592,0.0939,121699.01581158808,5704997.415928644
10,10,30266522.702767543,33293174.973044302,0.0339,38711.09331524128,7135335.628570679
10,15,30266522.702767543,34806501.10818267,0.0169,9541.360233866038,8619492.03062767
10,20,30266522.702767543,36319827.24332105,0.0,0.0,10123276.80553219
10,25,30266522.702767543,37833153.37845943,0.0,0.0,11636602.940670568
10,30,30266522.702767543,39346479.51359781,0.0,0.0,13149929.075808942
10,35,30266522.702767543,40859805.64873619,0.0,0.0,14663255.21094732
10,40,30266522.702767543,42373131.78387456,0.0,0.0,16176581.34608569
10,50,30266522.702767543,45399784.05415131,0.0,0.0,19203233.616362445
11,0,30229791.99518109,30229791.99518109,0.1361,306731.0563504254,4382830.361078911
11,5,30229791.99518109,31741281.59494015,0.0942,123750.62639503376,5711339.530882576
11,10,30229791.99518109,33252771.1946992,0.0339,40990.731824007424,7140069.236070602
11,15,30229791.99518109,34764260.794458255,0.0177,10701.718322510838,8621269.82232816
11,20,30229791.99518109,36275750.394217305,0.0,0.0,10122057.7037647
11,25,30229791.99518109,37787239.99397636,0.0,0.0,11633547.303523757
11,30,30229791.99518109,39298729.59373542,0.0,0.0,13145036.903282814
11,35,30229791.99518109,40810219.19349448,0.0,0.0,14656526.50304187
11,40,30229791.99518109,42321708.793253526,0.0,0.0,16168016.102800922
11,50,30229791.99518109,45344687.99277164,0.0,0.0,19190995.30231904
12,0,28668267.177588947,28668267.177588947,0.1347,300912.3186756031,4385054.465635921
12,5,28668267.177588947,30101680.536468398,0.1012,128631.45198121684,5646186.957820982
12,10,28668267.177588947,31535093.895347845,0.0327,43942.68841212017,6994911.553131335
12,15,28668267.177588947,32968507.254227288,0.017,14029.109506762516,8398411.33310542
12,20,28668267.177588947,34401920.613106735,0.0,0.0,9817795.582478106
12,25,28668267.177588947,35835333.97198618,0.0,0.0,11251208.941357551
12,30,28668267.177588947,37268747.33086563,0.0,0.0,12684622.300237
12,35,28668267.177588947,38702160.68974508,0.0,0.0,14118035.659116453
12,40,28668267.177588947,40135574.04862452,0.0,0.0,15551449.017995892
12,50,28668267.177588947,43002400.766383424,0.0,0.0,18418275.735754795
13,0,29555049.968237657,29555049.968237657,0.1276,282216.2474012714,4419310.185866451
13,5,29555049.968237657,31032802.46664954,0.0939,115659.58135176012,5730506.0182288205
13,10,29555049.968237657,32510554.965061422,0.0307,38603.43099537869,7131202.366284326
13,15,29555049.968237657,33988307.463473305,0.016,10863.977789397955,8581215.411490224
13,20,29555049.968237657,35466059.961885184,0.0,0.0,10048103.932112709
13,25,29555049.968237657,36943812.46029707,0.0,0.0,11525856.430524591
13,30,29555049.968237657,38421564.95870896,0.0,0.0,13003608.92893648
13,35,29555049.968237657,39899317.45712084,0.0,0.0,14481361.427348364
13,40,29555049.968237657,41377069.95553272,0.0,0.0,15959113.925760236
13,50,29555049.968237657,44332574.95235649,0.0,0.0,18914618.92258401
14,0,31558355.53803201,31558355.53803201,0.132,294951.3833369203,4411348.802667645
14,5,31558355.53803201,33136273.314933617,0.092,111107.19403793836,5805422.390270265
14,10,31558355.53803201,34714191.091835216,0.0241,33298.546455735115,7305531.519589661
14,15,31558355.53803201,36292108.86873681,0.0163,5980.86844857074,8856131.618484091
14,20,31558355.53803201,37870026.645638414,0.0,0.0,10428068.526937123
14,25,31558355.53803201,39447944.42254002,0.0,0.0,12005986.303838726
14,30,31558355.53803201,41025862.19944162,0.0,0.0,13583904.080740329
14,35,31558355.53803201,42603779.97634322,0.0,0.0,15161821.857641932
14,40,31558355.53803201,44181697.75324482,0.0,0.0,16739739.634543529
14,50,31558355.53803201,47337533.30704802,0.0,0.0,19895575.188346736
15,0,33099594.82382113,33099594.82382113,0.1286,296260.1457120984,4445489.589352246
15,5,33099594.82382113,34754574.56501219,0.0907,110299.74641042484,5914508.931241628
15,10,33099594.82382113,36409554.306203246,0.027,33441.38572087869,7492630.311743141
15,15,33099594.82382113,38064534.0473943,0.0095,4053.268192060508,9118221.935405375
15,20,33099594.82382113,39719513.78858536,0.0,0.0,10769148.408404373
15,25,33099594.82382113,41374493.52977642,0.0,0.0,12424128.149595434
15,30,33099594.82382113,43029473.27096747,0.0,0.0,14079107.890786488
15,35,33099594.82382113,44684453.01215853,0.0,0.0,15734087.631977543
15,40,33099594.82382113,46339432.75334958,0.0,0.0,17389067.3731686
15,50,33099594.82382113,49649392.2357317,0.0,0.0,20699026.855550718
16,0,32781075.84502046,32781075.84502046,0.1353,298024.13789087936,4369501.950301115
16,5,32781075.84502046,34420129.637271486,0.0907,107729.0687631587,5818260.673424418
16,10,32781075.84502046,36059183.429522514,0.0243,31825.031289681483,7381410.428201969
16,15,32781075.84502046,37698237.22177353,0.01,4744.376565106883,8993383.565728407
16,20,32781075.84502046,39337291.01402456,0.0,0.0,10627692.981414327
16,25,32781075.84502046,40976344.80627558,0.0,0.0,12266746.77366535
16,30,32781075.84502046,42615398.598526604,0.0,0.0,13905800.565916376
16,35,32781075.84502046,44254452.390777625,0.0,0.0,15544854.3581674
16,40,32781075.84502046,45893506.183028646,0.0,0.0,17183908.15041842
16,50,32781075.84502046,49171613.767530695,0.0,0.0,20462015.734920472
17,0,33214705.16818,33214705.16818,0.1372,304196.204125747,4345939.294148903
17,5,33214705.16818,34875440.426589005,0.0928,106945.9584221121,5809424.306854272
17,10,33214705.16818,36536175.684998006,0.0249,30195.259462651466,7393408.866303813
17,15,33214705.16818,38196910.943407,0.0089,3643.599996526987,9027592.46524668
17,20,33214705.16818,39857646.201816,0.0,0.0,10684684.123659154
17,25,33214705.16818,41518381.460225,0.0,0.0,12345419.382068155
17,30,33214705.16818,43179116.718634,0.0,0.0,14006154.640477158
17,35,33214705.16818,44839851.977043,0.0,0.0,15666889.898886155
17,40,33214705.16818,46500587.235452,0.0,0.0,17327625.157295153
17,50,33214705.16818,49822057.75227,0.0,0.0,20649095.674113154
18,0,34807222.04715691,34807222.04715691,0.13,293163.3070027672,4390797.803310502
18,5,34807222.04715691,36547583.14951476,0.0799,97964.5823655313,5935960.181031115
18,10,34807222.04715691,38287944.2518726,0.0168,27742.25577419112,7606098.956797617
18,15,34807222.04715691,40028305.35423044,0.0088,1500.5383904739083,9320218.34177174
18,20,34807222.04715691,41768666.45658829,0.0,0.0,11059078.905739116
18,25,34807222.04715691,43509027.55894613,0.0,0.0,12799440.00809696
18,30,34807222.04715691,45249388.66130398,0.0,0.0,14539801.110454809
18,35,34807222.04715691,46989749.76366183,0.0,0.0,16280162.212812658
18,40,34807222.04715691,48730110.86601967,0.0,0.0,18020523.315170493
18,50,34807222.04715691,52210833.070735365,0.0,0.0,21501245.519886192
19,0,37827715.11690078,37827715.11690078,0.1304,289474.13398468954,4434114.9572082935
19,5,37827715.11690078,39719100.87274582,0.0638,84771.00416094023,6120797.583229585
19,10,37827715.11690078,41610486.62859086,0.0161,21323.62440464882,7948735.959318333
19,15,37827715.11690078,43501872.38443589,0.0,0.0,9818798.090758717
19,20,37827715.11690078,45393258.14028093,0.0,0.0,11710183.846603757
19,25,37827715.11690078,47284643.89612597,0.0,0.0,13601569.602448797
19,30,37827715.11690078,49176029.65197101,0.0,0.0,15492955.358293835
19,35,37827715.11690078,51067415.40781605,0.0,0.0,17384341.114138875
19,40,37827715.11690078,52958801.163661085,0.0,0.0,19275726.86998391
19,50,37827715.11690078,56741572.67535117,0.0,0.0,23058498.381674
20,0,32459737.81308106,32459737.81308106,0.1376,308716.97675570723,4380503.671475098
20,5,32459737.81308106,34082724.70373511,0.0945,115428.53052577392,5810202.115899219
20,10,32459737.81308106,35705711.59438917,0.0259,34930.81985635971,7352691.29588386
20,15,32459737.81308106,37328698.48504321,0.0087,4546.953743323863,8945294.32042487
20,20,32459737.81308106,38951685.37569727,0.0,0.0,10563734.2573356
20,25,32459737.81308106,40574672.26635133,0.0,0.0,12186721.14798966
20,30,32459737.81308106,42197659.15700538,0.0,0.0,13809708.03864371
20,35,32459737.81308106,43820646.04765944,0.0,0.0,15432694.929297766
20,40,32459737.81308106,45443632.93831349,0.0,0.0,17055681.819951817
20,50,32459737.81308106,48689606.71962159,0.0,0.0,20301655.601259924
21,0,31349325.03614948,31349325.03614948,0.1359,308160.8235695321,4395283.076154182
21,5,31349325.03614948,32916791.28795695,0.0936,119757.56315332749,5774346.06754545
21,10,31349325.03614948,34484257.53976443,0.0254,37734.94378048979,7259789.69998009
21,15,31349325.03614948,36051723.79157189,0.0183,7379.795149996734,8796900.803157063
21,20,31349325.03614948,37619190.04337937,0.0,0.0,10356987.25981454
21,25,31349325.03614948,39186656.29518685,0.0,0.0,11924453.51162202
21,30,31349325.03614948,40754122.54699432,0.0,0.0,13491919.763429496
21,35,31349325.03614948,42321588.7988018,0.0,0.0,15059386.015236968
21,40,31349325.03614948,43889055.05060926,0.0,0.0,16626852.267044434
21,50,31349325.03614948,47023987.554224215,0.0,0.0,19761784.770659395
22,0,30910257.263679955,30910257.263679955,0.1313,281729.3857333108,4396493.331275832
22,5,30910257.263679955,32455770.126863956,0.0865,106348.53341573368,5766625.342142253
22,10,30910257.263679955,34001282.990047954,0.0287,33045.96916297409,7238835.641073494
22,15,30910257.263679955,35546795.853231944,0.0151,7382.001562761265,8758684.53665727
22,20,30910257.263679955,37092308.71641594,0.0,0.0,10296815.398278508
22,25,30910257.263679955,38637821.57959995,0.0,0.0,11842328.261462511
22,30,30910257.263679955,40183334.44278394,0.0,0.0,13387841.12464651
22,35,30910257.263679955,41728847.30596794,0.0,0.0,14933353.987830509
22,40,30910257.263679955,43274360.16915193,0.0,0.0,16478866.8510145
22,50,30910257.263679955,46365385.895519935,0.0,0.0,19569892.577382505
23,0,30366952.40358897,30366952.40358897,0.13,288147.11326250713,4372445.134737284
