hour_index,trigger,actual_compute_seconds,baseline_forecast,SARIMAX_forecast,LightGBM_forecast,selected_model,selected_forecast
264,event,1879749.836,1497261.5680000002,2110467.257281882,2197370.1877869423,Historical Hour-of-Day Mean,3271193.469833333
264,http,2805230.9999999995,2654143.955,2832661.350545484,2769732.276118798,Historical Hour-of-Day Mean,3651880.327166667
264,orchestration,878936.4619999998,852334.7099999998,819990.9233950889,823451.9218711377,Historical Hour-of-Day Mean,845788.5836666668
264,others,25593.528,1710938.2920000004,3104206.9983627284,348522.82081227115,Historical Hour-of-Day Mean,15827.451333333333
264,queue,19161301.273,18719310.77,16347684.831472067,17998609.795910712,Historical Hour-of-Day Mean,19464080.44183333
264,storage,663917.026,562683.2660000001,509455.3059566105,808436.4815165442,Historical Hour-of-Day Mean,287168.5098333334
264,timer,1220536.8009999995,1241015.3719999995,1245379.0541418926,1284092.1186338763,Historical Hour-of-Day Mean,1171078.0997777777
265,event,1649133.4399999997,1400670.924,2030348.807133252,2151207.484873712,Historical Hour-of-Day Mean,2957774.7973333336
265,http,2773144.2549999985,2516281.578,2999748.6056471057,2834119.226223412,Historical Hour-of-Day Mean,3580844.757333333
265,orchestration,640961.9430000001,663868.1030000001,717496.4997510639,670989.601047967,Historical Hour-of-Day Mean,613518.6883333334
265,others,24491.939,1755210.9530000004,3199926.634554114,167811.24158058246,Historical Hour-of-Day Mean,14364.2605
265,queue,20380915.816,19109426.421000004,17838292.492741566,20750204.78068465,Historical Hour-of-Day Mean,24730571.8335
265,storage,683782.8939999999,629698.9429999999,439015.7392265094,732751.8583346982,Historical Hour-of-Day Mean,365171.5113869048
265,timer,1164943.6120000002,1192902.5849999995,1183452.6305156385,1154010.321661213,Historical Hour-of-Day Mean,1114079.032777778
266,event,1630536.708,1456462.164,1948518.6183971008,2066007.944573908,Historical Hour-of-Day Mean,2416068.0741666667
266,http,2876841.1250000005,2464387.421,3142446.889382818,2897178.4994843937,Historical Hour-of-Day Mean,3403175.295666667
266,orchestration,558945.896,565273.0749999997,710991.5873519311,627494.2982713347,Historical Hour-of-Day Mean,554714.6015
266,others,26524.62799999999,1886168.37,3452016.228335939,158974.65588211422,Historical Hour-of-Day Mean,14042.8525
266,queue,20076510.594000004,20831588.57,18792934.85926669,21793624.37820516,Historical Hour-of-Day Mean,28182282.8325
266,storage,647814.659,512254.07,405712.9557552447,706788.6335257395,Historical Hour-of-Day Mean,345648.1795
266,timer,1177979.4790000005,1267470.8619999995,1213769.6374910823,1202891.161139191,Historical Hour-of-Day Mean,1122373.9734444446
267,event,1635184.665,1361432.394,1946633.0701322723,1887226.171237869,Historical Hour-of-Day Mean,2894105.4673333336
