model,dataset_split,trigger,MAE,RMSE,WAPE
Historical Hour-of-Day Mean,test,TOTAL,5271108.207056797,5940310.233262324,0.1972132263066609
Historical Hour-of-Day Mean,test,event,1016029.064689815,1123498.16406262,0.4512583017516352
Historical Hour-of-Day Mean,test,http,1232839.372134492,1455892.4349828167,0.3594078573840105
Historical Hour-of-Day Mean,test,orchestration,85182.21877314815,122170.83127487804,0.1234980674078634
Historical Hour-of-Day Mean,test,others,11400.333261574073,13230.49373214603,1.5299181440990224
Historical Hour-of-Day Mean,test,queue,4289014.424875,4970294.04102932,0.2391982880504848
Historical Hour-of-Day Mean,test,storage,983740.3756404598,2638103.7736497577,0.7619742330863067
Historical Hour-of-Day Mean,test,timer,20798.340971450685,27662.750719738902,0.0184514397559675
LightGBM,test,TOTAL,2950210.4126359853,3482734.9669505903,0.110379163338086
LightGBM,test,event,449107.2574842881,549145.4866797376,0.1994661229288412
LightGBM,test,http,1078988.4857858042,1698870.47860545,0.3145559337116859
LightGBM,test,orchestration,132333.854299005,159569.2556090495,0.1918589993773754
LightGBM,test,others,806704.3895794962,1432440.6364796038,108.25926349907334
LightGBM,test,queue,2425068.4665680244,3056827.27878258,0.1352460421312739
LightGBM,test,storage,1063149.6246647693,2553073.8176681614,0.8234821300107005
LightGBM,test,timer,50951.27931007327,57014.56228564822,0.0452018967267522
SARIMAX,test,TOTAL,2812760.3870620644,3426723.946305975,0.105236608502449
SARIMAX,test,event,391238.5320084381,469351.204535856,0.1737643554398019
SARIMAX,test,http,777286.6947121966,926454.7926841492,0.2266012522263395
SARIMAX,test,orchestration,89895.4108529287,128266.27513837317,0.1303313023430214
SARIMAX,test,others,1080275.4033271947,2376798.4196480974,144.97233565485854
SARIMAX,test,queue,2616278.194842989,3244027.6143363933,0.1459098066074922
SARIMAX,test,storage,1035439.5660753693,2628552.7629584046,0.8020187935804068
SARIMAX,test,timer,35767.08425437977,41490.82417016557,0.0317310982290465
Seasonal Naive,test,TOTAL,3559186.269207936,4608507.665410257,0.1331633841697952
Seasonal Naive,test,event,324158.9573472221,381669.92929497216,0.143971689072444
Seasonal Naive,test,http,884431.991918254,1190207.507227468,0.257837163869013
Seasonal Naive,test,orchestration,99895.41255555554,162289.75520023215,0.1448294088978492
Seasonal Naive,test,others,540751.0169166666,1284127.8785996342,72.56847438042156
Seasonal Naive,test,queue,2339750.280458333,3471484.162076851,0.1304878478154305
Seasonal Naive,test,storage,1779123.306875,3674450.816666412,1.3780527371761728
Seasonal Naive,test,timer,28725.52984722217,37471.53683234662,0.0254841183804911
Historical Hour-of-Day Mean,validation,TOTAL,3837347.204355316,4424196.774355025,0.1352528433408698
Historical Hour-of-Day Mean,validation,event,1472950.1394444443,1557924.998424653,0.8224726420598388
Historical Hour-of-Day Mean,validation,http,1661674.4872135967,1818242.5305027207,0.5390413777892217
Historical Hour-of-Day Mean,validation,orchestration,115780.96589583332,165265.58174035032,0.1454941717077418
Historical Hour-of-Day Mean,validation,others,823261.3844722224,1578674.2260162586,0.9907737862385922
Historical Hour-of-Day Mean,validation,queue,2140024.708805554,2790217.489185854,0.1056853313585172
Historical Hour-of-Day Mean,validation,storage,144452.6126778274,181400.61244588543,0.3316472802459202
Historical Hour-of-Day Mean,validation,timer,69919.5130648147,73725.56119495956,0.0589123521408596
LightGBM,validation,TOTAL,8911641.852606378,10656997.787665635,0.3141036854920213
LightGBM,validation,event,736172.2995433392,910151.9204689488,0.4110672588313464
LightGBM,validation,http,7607632.14230859,10132220.855128683,2.4678891944595747
LightGBM,validation,orchestration,138328.62626051056,170459.60228906598,0.17382830368983
LightGBM,validation,others,815046.246003243,1572752.9544428436,0.9808870795389903
LightGBM,validation,queue,2110422.243846028,2672470.1259515067,0.1042234107061979
LightGBM,validation,storage,226223.2922889558,269502.3478910392,0.5193837496261924
LightGBM,validation,timer,119370.40762682336,138963.09572398305,0.1005783819288103
SARIMAX,validation,TOTAL,7654810.215881777,9499258.083360087,0.2698048395927433
SARIMAX,validation,event,540899.4872069451,583834.8368959875,0.3020299319158913
SARIMAX,validation,http,7820301.478464308,10177390.117175909,2.536878381485687
SARIMAX,validation,orchestration,131484.2325203653,179165.3308807815,0.1652274132899347
SARIMAX,validation,others,824765.9658238516,1576732.1453440324,0.9925845109860104
SARIMAX,validation,queue,1726610.062646435,2417798.185863324,0.0852688082744557
SARIMAX,validation,storage,110690.2669265734,148210.89765338216,0.2541326549611642
SARIMAX,validation,timer,24757.46078187077,30121.06672366873,0.0208599886321156
Seasonal Naive,validation,TOTAL,6569789.443578277,8633012.654597882,0.2315617157046067
Seasonal Naive,validation,event,677008.46675,768725.7662497165,0.3780310870229256
Seasonal Naive,validation,http,4144832.791603127,6852519.800745617,1.3445692257321753
Seasonal Naive,validation,orchestration,143010.71327083334,190384.5311385501,0.1797119682987725
Seasonal Naive,validation,others,825831.9333958334,1582458.9466286188,0.9938673753924068
Seasonal Naive,validation,queue,2528941.2213333314,3208078.574299392,0.1248920116964459
Seasonal Naive,validation,storage,238927.2745208333,464144.3097264414,0.5485506928706975
Seasonal Naive,validation,timer,37263.1611682162,45356.2108456784,0.0313969645439117
